6	30	560	1440	1440																																					

3	3	3	3	3	3																																				

0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0

0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0

360	365	390	390	405	430	430	450	485	490	495	510	510	520	540	550	570	570	585	600	630	630	650	670	680	680	690	770	800	810	810	405	430	430	445	470	470	490	535	530	535	550	550	560	580	590	610	610	625	640	680	680	690	710	720	720	730	810	840	850	850	360
920	425	450	450	465	490	490	510	545	550	555	570	570	580	600	610	630	630	645	660	690	690	710	730	740	740	750	830	860	870	870	465	490	490	505	530	530	550	595	590	595	610	610	620	640	650	670	670	685	700	740	740	750	770	780	780	790	870	900	910	910	920

        999	14	22	8	12	11	10	16	16	7	9	13	5	11	8	17	12	15	10	9	5	11	18	9	16	5	11	8	12	12	6	18	5	5	6	18	12	7	11	9	7	7	22	12	16	5	11	11	7	9	7	17	13	10	6	17	6	7	12	18	12	999
        999	999	11	9	22	20	13	25	26	17	9	4	13	25	12	5	22	6	18	18	12	21	5	19	22	13	17	14	7	7	16	5	13	12	16	12	7	12	21	18	17	16	11	22	25	13	25	16	17	19	9	26	999	19	11	5	11	12	22	5	22	999
        999	11	999	17	25	23	17	26	29	23	17	12	21	26	18	6	22	15	20	20	20	23	5	20	24	21	21	18	16	15	24	5	21	20	24	6	15	18	23	20	23	20	999	22	26	21	26	25	23	20	17	30	11	21	19	6	19	19	22	7	25	999
        999	9	17	999	15	13	6	17	19	9	4	8	5	17	5	12	14	11	11	11	5	14	13	11	15	5	9	6	7	7	10	13	5	5	10	17	7	5	14	11	9	9	17	14	17	5	17	17	9	11	999	20	8	12	3	12	3	4	14	12	15	999
        999	22	25	15	999	4	12	9	8	7	16	20	12	9	12	26	6	24	8	7	11	4	25	9	17	12	16	13	20	19	8	25	12	11	8	17	20	12	4	8	7	9	25	6	9	12	9	19	7	9	13	8	21	6	12	26	12	13	6	26	999	999
        999	20	23	13	4	999	10	10	9	6	15	19	11	10	10	24	6	23	6	5	10	1	23	8	16	11	14	11	19	18	7	23	11	10	7	16	19	10	1	6	6	7	23	6	10	11	10	18	6	8	12	10	19	4	10	24	10	11	6	25	5	999
        999	13	17	6	12	10	999	14	17	11	8	12	9	13	4	17	10	16	7	8	8	11	17	8	13	9	8	4	12	11	13	17	9	8	13	13	12	4	11	7	11	7	17	10	14	9	13	11	11	8	5	18	12	9	6	17	6	5	10	17	13	999
        999	25	26	17	9	10	14	999	10	9	15	19	12	13	9	23	4	23	6	6	12	8	22	6	14	12	13	10	19	18	13	22	12	12	13	14	19	9	8	6	9	6	26	4	999	12	1	18	9	6	12	11	19	7	12	23	12	11	4	23	7	999
        999	26	29	19	8	9	17	10	999	12	21	25	16	9	17	30	10	28	12	12	16	9	30	14	22	17	21	18	25	24	13	29	16	16	13	22	24	17	8	12	12	14	29	10	10	16	9	23	12	14	19	999	26	11	17	31	17	18	10	31	7	999
        999	17	23	9	7	6	11	9	12	999	12	4	8	11	7	21	7	20	4	4	7	6	21	4	13	8	11	8	16	15	6	21	8	7	6	16	16	7	6	4	1	4	23	7	9	8	11	15	999	4	9	12	16	4	8	21	8	8	7	21	8	999
