6	50	1020	1440	1440																																					

3	3	3	3	3	3																																				

0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0

0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0

360	365	390	390	405	430	430	450	485	490	495	510	510	520	540	550	570	570	585	600	630	630	650	670	680	680	690	770	800	810	810	820	845	880	890	900	930	950	960	990	990	1050	1070	1080	1080	1100	1130	1150	1185	1215	1275	405	430	430	445	470	470	490	535	530	535	550	550	560	580	590	610	610	625	640	680	680	690	710	720	720	730	810	840	850	850	860	885	920	930	940	970	990	1000	1030	1030	1090	1110	1120	1120	1140	1170	1190	1225	1255	1315	360

1380	425	450	450	465	490	490	510	545	550	555	570	570	580	600	610	630	630	645	660	690	690	710	730	740	740	750	830	860	870	870	880	905	940	950	960	990	1010	1020	1050	1050	1110	1130	1140	1140	1160	1190	1210	1245	1275	1335	465	490	490	505	530	530	550	595	590	595	610	610	620	640	650	670	670	685	700	740	740	750	770	780	780	790	870	900	910	910	920	945	980	990	1000	1030	1050	1060	1090	1090	1150	1170	1180	1180	1200	1230	1250	1285	1315	1375	1380

        999	14	22	8	12	11	10	16	16	7	9	13	5	11	8	17	12	15	10	9	5	11	18	9	16	5	11	8	12	12	6	15	13	12	18	5	12	5	11	7	7	24	17	23	30	21	10	7	16	11	21	18	5	5	6	18	12	7	11	9	7	7	22	12	16	5	11	11	7	9	7	17	13	10	6	17	6	7	12	18	12	5	5	10	12	15	12	13	17	8	13	18	15	15	15	20	18	10	18	1	24	999
        999	999	11	9	22	20	13	25	26	17	9	4	13	25	12	5	22	6	18	18	12	21	5	19	22	13	17	14	7	7	16	4	18	7	5	15	22	13	7	12	16	6	10	4	10	7	18	20	11	7	11	5	13	12	16	12	7	12	21	18	17	16	11	22	25	13	25	16	17	19	9	26	999	19	11	5	11	12	22	5	22	16	13	13	7	4	7	18	11	14	4	21	18	18	7	22	21	13	21	6	11	999
